date,location,temperature_c,humidity_percent,rainfall_mm,wind_speed_kmh
2026-01-01,Hyderabad,24.5,58,0,12
2026-01-02,Hyderabad,25.1,55,0,14
2026-01-03,Hyderabad,26.3,52,0,16
2026-01-04,Hyderabad,27.0,50,0,18
2026-01-05,Hyderabad,25.8,57,2.4,13
2026-01-06,Hyderabad,24.9,64,8.2,11
2026-01-07,Hyderabad,23.7,71,12.5,10
2026-01-01,Secunderabad,24.1,61,0,11
2026-01-02,Secunderabad,24.8,59,0,13
2026-01-03,Secunderabad,25.6,56,0,15
2026-01-04,Secunderabad,26.4,53,0,17
2026-01-05,Secunderabad,25.2,60,1.8,12
2026-01-06,Secunderabad,24.3,67,7.6,10
2026-01-07,Secunderabad,23.2,73,11.2,9
2026-01-01,Gachibowli,25.2,55,0,13
2026-01-02,Gachibowli,26.0,53,0,15
2026-01-03,Gachibowli,27.1,49,0,17
2026-01-04,Gachibowli,27.8,47,0,19
2026-01-05,Gachibowli,26.5,54,1.2,14
2026-01-06,Gachibowli,25.4,61,6.4,12
2026-01-07,Gachibowli,24.1,68,10.8,11
